artist,content,ip,like,month,nickname,post_id,title,uid,unlike,url,view
방탄소년단, 시발년이 ,223.62,6,2024-01,ㅇㅇ,,애미거지짭크트는 오늘도 하루종일 삐팼노,,2,https://gall.dcinside.com/board/view/?id=bts&no=10754026&page=19932,69
방탄소년단, ,223.62,5,2024-01,ㅇㅇ,,좆소가 재재계약 땜에 일부러 놔두는걸수도 ,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754036&page=19932,124
방탄소년단, ㅅㅂㅋㅋ ,211.36,0,2024-01,ㅇㅇ,,빅히트 존나 센스없노 첫해인데 뿡을 줘야지,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754057&page=19932,71
방탄소년단, 가보기도 귀찮긔 ,106.101,0,2024-01,oo,,뜬거 뭐노?,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754080&page=19932,74
방탄소년단, 군지가서도 일하는 효자새끼 ,223.38,8,2024-01,ㅇㅇ,,오늘 삐닝맨봐서 좋았다,,2,https://gall.dcinside.com/board/view/?id=bts&no=10754112&page=19932,117
방탄소년단, 삐뺀 스워돌릴려고 장작글쓰고 역할분담 개쩌노 ,118.235,0,2024-01,ㅇㅇ,,삐앰들 패드립하는 도배충 등판에,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754164&page=19931,23
방탄소년단, ㅇ ,118.235,0,2024-01,방갤러,,좆소 배임으로 먼저 고소 당하겠다 영상이나 내려,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754209&page=19931,34
방탄소년단, 새해에는 꼭 취업하고 탈갤해 ,118.235,0,2024-01,ㅇㅇ,,❗❗❗뿡갤 아짐마들아 2024년이다❗❗❗,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754236&page=19931,21
방탄소년단, 그냥 쳐우기노 ,211.234,12,2024-01,ㅇㅇ,,담줌아 이것봐도 차트아웃 점점 줄어듬,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754435&page=19930,425
방탄소년단, 시발ㅋㅋㅋㅋㅋ ,39.7,2,2024-01,ㅇㅇ,,찜천지 내새끼 힘들게 하는 단체는 꼴보기 싫지만 단체의 힘은 필요해,,1,https://gall.dcinside.com/board/view/?id=bts&no=10754447&page=19930,70
방탄소년단, ㅇㅇ ,203.228,0,2024-01,ㅇㅇ,,뿡이브 엠비씨랑 화해했는데 왜 안나왔긔? ,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754462&page=19930,194
방탄소년단, 그걸 안해서 문제인거지 지금 음정팀이 꾹정팀 이름달고 저러면 누가 뭐라하냐고 꾹정팀 아니라고 뿡 이름 떼면 누가 뭐라하겠어 엄연히 뿡 이름 달고 한멤만 밀어주기식으로 구니까 그러는거지 이걸 문제삼는 걸 구걸이라고 말하는 게 웃긴거임 ,106.101,61,2024-01,ㅇㅇ,,개인입맛에 맞게하려면 단체명 떼면 되자나,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754484&page=19929,562
방탄소년단, 양심 좀 가져 ,118.235,2,2024-01,방갤러,,585위앰아 라도 팰때부터 585위앰이 다 팸,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754491&page=19929,45
방탄소년단, ,106.102,3,2024-01,ㅇㅇ,,라도앰 열받을 썸넬,,2,https://gall.dcinside.com/board/view/?id=bts&no=10754270&page=19931,296
방탄소년단, ,175.200,0,2024-01,ㅇㅇ,,.,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754309&page=19931,67
방탄소년단, ㅇㅇ ,124.54,2,2024-01,ㅇㅇ,,실물 씨디가 있으니 유리하긔,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754364&page=19930,66
방탄소년단, 이 호구등신들 ,223.39,3,2024-01,ㅇㅇ,,뿡메달 100억넘게 팔았다는데,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754407&page=19930,301
방탄소년단, 풀리는건데 좆소는 꾹한정 실물시디에 리믹스시디까지 싸지르면서까지 왜 뻔히 보이는 꼼수를 부리지 좆나 앞뒤가 다르고 구려 그러니까 조국에서 정크라고 조롱당해도 싸 ,223.39,52,2024-01,ㅇㅇ,,디지털싱글이 이미 실물이 없다는걸 전제로 하고 음사에 음원만,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754421&page=19930,240
방탄소년단, ㅇ ,118.235,7,2024-01,방갤러,,1분1초가 되면 죄다 곡 1분 1초씩만 돌리면되긔,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754521&page=19929,88
방탄소년단, 존나 아미들 이용해 꾹성적 올리는데 다 해먹음 개폭해라 ,223.38,14,2024-01,ㅇㅇ,,뿡음정팀=꾹음정팀,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754538&page=19929,47
방탄소년단, 흠 ,117.111,0,2024-01,ㅇㅇ,,최수종옹이 대상,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754474&page=19930,82
방탄소년단, 세습이라 불가능해 ,118.235,2,2024-01,방갤러,,점찍고 돌아왔다고 뿡정팀 말 안했던가,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754547&page=19929,100
방탄소년단, ㅇㅇ ,124.54,1,2024-01,ㅇㅇ,,좆소 가세연도 고소하라고 해서 화났노,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754181&page=19931,25
방탄소년단, ㅇ ,118.235,18,2024-01,방갤러,,단체음정팀은 단체만하게 하고 개인한테 손 떼도록 해야해,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754578&page=19928,109
방탄소년단, 리믹스싸개앰 ,118.235,27,2024-01,방갤러,,비교하고 싶으면 똑같은 조건으로 나오시면 됩니다,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754335&page=19931,154
방탄소년단, ㅇ ,118.235,2,2024-01,방갤러,,585위 앰 기계딸 그만 쳤으면 꼴불견,,0,http://gall.dcinside.com/board/view/?id=bts&no=10754382&page=19930,26
방탄소년단, 착한거 나쁜거 다했네 ,223.62,6,2024-01,ㅇㅇ,,우미줌마 음원 펀딩계에도 돈내고 기부도한거노,,3,https://gall.dcinside.com/board/view/?id=bts&no=10754611&page=19928,471
방탄소년단, 고소파티좀 하세요 댓글말한거다 쳐돌아 다니고 이러고 다님 ,106.102,0,2024-01,ㅇㅇ,,경찰 청장님 이게 맞는 말인가요? 이게 사실이 아닐시,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754392&page=19930,88
방탄소년단, 일을 저따위로 할꺼면 ,118.235,0,2024-01,ㅇㅇ,,단체음정팀은 단체곡만 하고 딴거는 말아야지,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754530&page=19929,69
방탄소년단, ,118.235,10,2024-01,ㅇㅇ,,잉국 헤롯백화점 영상 생각보다 훨씬 크네,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754699&page=19928,300
방탄소년단, 아 우리흥한테 따였나 ,175.223,1,2024-01,ㅇㅇ,,오랜만에와봤더니 이년들은 아직도 앰버로 발광이네 가서 빤쓰나 사 ,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754750&page=19927,48
방탄소년단, ,125.138,51,2024-01,ㅇㅇ,,뭔가 뇌가 고장난년들 같음 디올캠페인 규모보고도 헛소리하는거보면,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754800&page=19927,820
방탄소년단, ㅇㅇ ,124.54,0,2024-01,ㅇㅇ,,리믹스 어려우면 실물 씨디라도 그럼 빌보지 노릴 수 있다고,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754351&page=19931,50
방탄소년단, 속옷광고 ,118.235,4,2024-01,ㅇㅇ,,좆돌이 광고계약해놓고도 찍지도못하고 짤린거 최초아니냐고,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754835&page=19927,254
방탄소년단, 뭐긔  ,118.235,1,2024-01,ㅇㅇ,,샌드박스 저게 뭐긔?,,2,https://gall.dcinside.com/board/view/?id=bts&no=10755003&page=19927,398
방탄소년단, ㅇ ,223.38,10,2024-01,ㅇㅇ,,짜고치는 고스톱은 쳐맞아야하긔,,0,https://gall.dcinside.com/board/view/?id=bts&no=10755015&page=19927,125
방탄소년단, 통피로 지랄말고 뭐가 루머를 싼건지 그게 왜 다 찜앰인지 논리적으로 말을 해봐 새해부터 찜동생갖고도 개소리하는 개병신도 있건만 그건 안보이냐ㅋ ,106.101,3,2024-01,ㅇㅇ,,이 꾹악개 뭔 루머를 쌌다고  찜앰힌테 지랄임???,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754678&page=19928,139
방탄소년단, 잡지도 안 사주는 앰들이 수백 수천짜리 잘도 사주겠다 디올도 이제 깨달았을거긔 ㅂㅂ ,118.235,0,2024-01,ㅇㅇ,,캠페인 해주면 뭐 하냐고 ,,2,https://gall.dcinside.com/board/view/?id=bts&no=10754722&page=19927,86
방탄소년단, 지새끼 같이 안빨고 찜만 빨면 찜도 뿡 아니라며 탈퇴 총공이라도 하던가 방구석에서 뿡갤이나 하는 주제에 지가 뿡인줄 착각하나봄 ,118.235,19,2024-01,ㅇㅇ,,6정팀인지 담정팀인지 찜 맘에 안들면 탈퇴 실트 올려,,0,https://gall.dcinside.com/board/view/?id=bts&no=10754505&page=19929,229
방탄소년단, 저게 아티스트 회사맞노 작업물 퀄 높일 생각은 안하구 프로모로 성적올리구 바이럴 돌릴 생각만하니 ,211.234,79,2024-01,ㅇㅇ,,상장하더니 이상한 회사가 됐음,,0,https://gall.dcinside.com/board/view/?id=bts&no=10755076&page=19926,708
방탄소년단, 거기서 주로 정크 언급할테니 ㅋㅋㅋ ,39.7,3,2024-01,ㅇㅇ,,정크줌들 샌드박스만 봐야겠노,,0,https://gall.dcinside.com/board/view/?id=bts&no=10755089&page=19926,52
방탄소년단, 너해 너먼저해 허허거리다가 결정적일때 난 안해 이럼 오히려 꾹같은 스타일이 다루기가 더 쉽긔 ,118.235,4,2024-01,ㅇㅇ,,좆간중에서도 삐같은 허허충이 무서운게,,1,https://gall.dcinside.com/board/view/?id=bts&no=10755123&page=19926,203
방탄소년단, 크리에이터가 저렇게 많은 줄 몰랐 ㅌㅌ은 안하니까 상관없는데 너투버 중 아는 사람도 있어서 좀 충격 앞으로 좀더 현명하고 신중한 소빌 해야할 듯 노골적으로 돈으로 돈을 불러오려는 구조 짱나 ,39.7,2,2024-01,ㅇㅇ,,샌박 소속 ,,0,https://gall.dcinside.com/board/view/?id=bts&no=10755134&page=19925,107
방탄소년단, ㄹㅇ ,106.101,1,2024-01,ㅇㅇ,,탐스도 찜이나갓어야했어. 케이팝 기강잡았어야지!,,0,https://gall.dcinside.com/board/view/?id=bts&no=10755144&page=19925,152
방탄소년단, 말듣는 거 못본거같음 ,211.234,17,2024-01,ㅇㅇ,,좆소는 더해봐 이러고 더지랄하는 스탈같음,,0,https://gall.dcinside.com/board/view/?id=bts&no=10755033&page=19927,124
방탄소년단, ㅋㅋㅋ ,106.101,0,2024-01,ㅇㅇ,,또 투명하게 삐플 만드려고 하노,,0,https://gall.dcinside.com/board/view/?id=bts&no=10755166&page=19925,69
방탄소년단, 벌써 ,223.38,0,2024-01,ㅇㅇ,,콕 28 ㅊㅋㅊㅋ,,0,https://gall.dcinside.com/board/view/?id=bts&no=10755054&page=19926,73
방탄소년단, 이새끼 ,106.102,18,2024-01,ㅇㅇ,,시끄러워 죽겠노,,1,https://gall.dcinside.com/board/view/?id=bts&no=10754591&page=19928,354
방탄소년단, ㅋ ,106.101,0,2024-01,방갤러,,와꾸까지 빻은 새끼,,0,https://gall.dcinside.com/board/view/?id=bts&no=10755206&page=19925,24
방탄소년단, ㄲ한테 발정푸나봐 ㅠㅠ 어떻게든 광부 압픈톡 형사처벌 빡쎄게 받게해줌 ,118.235,8,2024-01,ㅇㅇ,,천년의 욕정도 식어서,,8,https://gall.dcinside.com/board/view/?id=bts&no=10754932&page=19927,279
방탄소년단, 골라내고 ㅋㅋㅋ 그래서 광고 안뜨게 회사와 계약함 근데 계약기사 떠서 ,211.234,31,2024-01,ㅇㅇ,,여기년들 때문이긔 프로모한 틱톡 귀신같이,,0,https://gall.dcinside.com/board/view/?id=bts&no=10755097&page=19926,264
방탄소년단, 포말론 앱이 찜라크 합산해주라고 한소리 했거든 좆소는 음침해서김치든 조국이든 찜한테 호의보이는 사람들 다 좆소일로 묶어버리고 더이상 찜언급 못하게 하긔 임진모 김영대 다 그랬고 빌보드 찜앱인 테트리스 아재 찜없을때 초대한거봐 리액셔너들도 찜 언급 못하게 하자나 ,223.39,13,2024-01,ㅇㅇ,,Tsx 공연자 중 첫공연 포스트말론이긔 왜 포말론이게?,,1,https://gall.dcinside.com/board/view/?id=bts&no=10755113&page=19926,206
